,location,text,location2,point,latitude,longitude,altitude
5266,"New York, NY",@Delta #UnitedAirlines i am very happy you’re taking extra cleaning measure due to the coronavirus outbreak..but do… https://t.co/N0IV5aeHkH,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
5269,Atlanta,"@realDonaldTrump @foxandfriends @CNN They are addicted to lying and fear mongering for their partner the DNC. 

Pri… https://t.co/So5nzRjUg4","Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)",33.7490987,-84.3901849,0.0
5273,United States,"JESUS SAID
“ ask and you shall receive”

Jesus deliver us from the wrath
of Coronavirus scourges “",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
5276,"Houston, TX",-who y’all think gon be the first rapper to use “coronavirus” in a rap?,"Houston, Harris County, Texas, 77002-5902, United States of America","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974,0.0
5297,London 🚓/New York 🚕,Government fails to detail how retired doctors plan will work for coronavirus https://t.co/7LPuD2phRZ,"New York, Longbridge Road, Thames View, London Borough of Barking and Dagenham, London, Greater London, England, IG11 8RU, United Kingdom","(51.540089699999996, 0.08192645651586072, 0.0)",51.540089699999996,0.08192645651586072,0.0
5306,United States,Fake news!,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
5330,"Baltimore, MD",😂😂🤣🤣yo this ain’t funny,"Baltimore, Maryland, 21203, United States of America","(39.2908816, -76.610759, 0.0)",39.2908816,-76.610759,0.0
5334,America,Jim Cramer: Four steps the federal government should take to stave off coronavirus-induced recession – CNBC https://t.co/IewqSjHvVe,"America, Horst aan de Maas, Limburg, Nederland","(51.44770365, 5.966069282055592, 0.0)",51.44770365,5.966069282055592,0.0
5341,"Derbyshire, UK",Oh dear #nffc,"Derbyshire, East Midlands, England, United Kingdom","(53.1185033, -1.5566179305872212, 0.0)",53.1185033,-1.5566179305872212,0.0
5346,"New York, NY",if trump did have it we’d never find out... just like how we still don’t know exactly why he had an unscheduled eme… https://t.co/yK5cjY75oi,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
5349,Kirkstall,"Following a period of two weeks in the shed of isolarion, @AllyKirkstall has not developed any symptoms of… https://t.co/H05qYyAqRE","Kirkstall, Leeds, Yorkshire and the Humber, England, LS5 3AS, United Kingdom","(53.8155554, -1.6001911, 0.0)",53.8155554,-1.6001911,0.0
5383,Tórshavn,stay in school kids,"Tórshavn, Streymoyar sýsla, 100, Føroyar/Færøerne","(62.012, -6.768, 0.0)",62.012,-6.768,0.0
5393,"Kingston upon Thames, London",I swear to god if I lose my job over Coronavirus :    (,"Kingston upon Thames, London, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621, 0.0)",51.4096275,-0.3062621,0.0
5398,Denmark,Trump administration orders immigration judges to remove posters aimed at tackling coronavirus https://t.co/ESHoaMhndX,Danmark,"(55.670249, 10.3333283, 0.0)",55.670249,10.3333283,0.0
5403,Béal Feirste / Belfast,So will renters have reprieve,"Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","(54.5964411, -5.9302761, 0.0)",54.5964411,-5.9302761,0.0
5410,Cardiff,.@NatResWales' website is now back up and running for anybody needing information on the #flooding. Find all of the… https://t.co/5okUhg41Sq,"Cardiff, Wales, CF, United Kingdom","(51.4816546, -3.1791934, 0.0)",51.4816546,-3.1791934,0.0
5426,"Mississippi, USA",Thank God @TrumpHotels will be OK https://t.co/vRjX9CIYhb,"Mississippi, United States of America","(32.9715645, -89.7348497, 0.0)",32.9715645,-89.7348497,0.0
5446,"Long Island, New York",Trump now in unchartered territory.... you don't fix a pandemic virus with economic stimulus,"Long Island, Lake Ronkonkoma, Suffolk County, New York, United States of America","(40.85172235, -73.09921882199973, 0.0)",40.85172235,-73.09921882199973,0.0
5448,"Miami, FL",Liberal California Governor Praises Trump And Pence For Response To Coronavirus (VIDEO) https://t.co/69VFv5Dmiz via @gatewaypundit,"Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)",25.7742658,-80.1936589,0.0
5451,London,"""It is quite possible the woman sitting next to you is one of thousands of people in the UK with an invisible disab… https://t.co/O5NtdxQO5I","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
