,location,text,location2,point,latitude,longitude,altitude
1793,"Florida, USA",Sick assholes.,"Florida, United States of America","(27.7567667, -81.4639835, 0.0)",27.7567667,-81.4639835,0.0
1802,Bangladesh,"Are you looking for creative modern minimalist and professional logo design?
Please contact: https://t.co/LOIN9YqoQu",বাংলাদেশ,"(24.4768783, 90.2932426, 0.0)",24.4768783,90.2932426,0.0
1809,United States,@charliekirk11 Enough with the xenophobia. It’s coronavirus or COVID19 and you know it.,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
1817,New York City,"@billm9 ""Energy companies are especially vulnerable, thanks to a collapse in oil prices. But they’re not alone. ""… https://t.co/FltcxCODkZ","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
1843,Nederland,Dutch PM :D,Nederland,"(52.5001698, 5.7480821, 0.0)",52.5001698,5.7480821,0.0
1853,"Brooklyn, NY","I'm worried about my in-laws. They live in a gated community on top of a mountain in rural western NC, but there's… https://t.co/xf5h5nMwMH","Brooklyn, Kings County, New York, United States of America","(40.6501038, -73.9495823, 0.0)",40.6501038,-73.9495823,0.0
1862,Milwaukee,#coronavirus @AerLingus are their refunds or free changes to flights to Prague now?,"Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497, 0.0)",43.0349931,-87.922497,0.0
1869,United States,"Health Secretary Alex Azar is in about a difficult position as anyone in the Trump administration, and yet he gamel… https://t.co/YYoCaVs3N0",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
1876,Alabama,The latest The Donna DeVane Daily! https://t.co/VJ1Ugdk3Qv #coronavirus #trumprussia,"Alabama, United States of America","(33.2588817, -86.8295337, 0.0)",33.2588817,-86.8295337,0.0
1877,United States,"CORONAVIRUS - 1,398 NEW CASES YESTERDAY

https://t.co/QAkzB5Or79  https://t.co/mshU3NB3tC",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
1879,Gadsden Al.,"Trump is already ignorantly tweeting that we need the wall to keep the coronavirus out of the U.S., and I couldn't… https://t.co/J66JmZaOTl","Gadsden, Etowah County, Alabama, United States of America","(34.010929, -85.9989596, 0.0)",34.010929,-85.9989596,0.0
1889,"Bristol, CT",@justinbaragona @ndrew_lawrence Or...”Scam of Impeachment due to Coronavirus”. ~~S.I.C.~~ ‘sick’.,"Bristol, Hartford County, Connecticut, United States of America","(41.6735209, -72.9464859, 0.0)",41.6735209,-72.9464859,0.0
1892,"Newcastle ,Australia.",@KarluskaP Abortions and Suicides account for more deaths a day than Coronavirus does.,"Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2300, Australia","(-32.9272881, 151.7812534, 0.0)",-32.9272881,151.7812534,0.0
1905,Cincy,🤣🤣🤣😭😭 omg it’s too early 😭,"Cincinnati, Hamilton County, Ohio, United States of America","(39.1014537, -84.5124602, 0.0)",39.1014537,-84.5124602,0.0
1924,Valletta,"1/2 #Coronavirus: What you need to know

While the situation of #COVID19 continues to develop in Europe, the Europe… https://t.co/JynkZrnGcv","Valletta, Reġjun Xlokk, Malta","(35.8989818, 14.5136759, 0.0)",35.8989818,14.5136759,0.0
1929,"Aberdeen, Scotland","@mhughes001 @GMorsleyMezzo They aren't listening, I started a petition, might not do anything but sick of their gen… https://t.co/KAUROBRJVy","Aberdeen, Aberdeen City, Scotland, AB11 5EQ, United Kingdom","(57.1482429, -2.0928095, 0.0)",57.1482429,-2.0928095,0.0
1947,london,"Coronavirus Is A Massive Challenge For World Leaders. Here’s What China, Italy And The United States Teach Us About… https://t.co/k19MKSwHJL","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
1956,Denmark,"I really hope this isn't true, but I would not be surprised if it is.",Danmark,"(55.670249, 10.3333283, 0.0)",55.670249,10.3333283,0.0
1962,Republic of the Philippines,Is it coincidence or what hahaha,Philippines,"(12.7503486, 122.7312101, 0.0)",12.7503486,122.7312101,0.0
1963,"Indiana, USA",@ABC7Chicago Other alias names the Coronavirus was called before it's a democratic hoax and the liberal media that… https://t.co/8r1kz6vkYl,"Indiana, United States of America","(40.3270127, -86.1746933, 0.0)",40.3270127,-86.1746933,0.0
1981,Palestine,Palestinians praying at the streets of Bethlehem and Beit Jala after coronavirus hit Palestine. https://t.co/huPgLFEceW,"الأراضي الفلسطينية, מועצה אזורית בני שמעון, מחוז הדרום, NO, ישראל","(31.94696655, 35.27386547291496, 0.0)",31.94696655,35.27386547291496,0.0
1991,"South West, England","If you want health experts to do the talking on coronavirus, rather than Nigel Farage or football managers, sign th… https://t.co/EnguW6zVp4","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
1998,"Charlotte, NC",@liyahgawd Nose running a lil? You probably got CORONAVIRUS,"Charlotte, Mecklenburg County, North Carolina, United States of America","(35.2270869, -80.8431268, 0.0)",35.2270869,-80.8431268,0.0
2004,"South East, England",'A tweet can't knock over a pandemic': has Trump met his match in coronavirus? https://t.co/rll7MH7tFI,"England, Katrineholms kommun, Södermanlands län, Svealand, Sverige","(59.074495850000005, 16.32211780440771, 0.0)",59.074495850000005,16.32211780440771,0.0
2036,Scotland,The BBC has been questioned by viewers over its decision to interview Nigel Farage on Newsnight about the coronavir… https://t.co/SyvWCKRfQ0,"Scotland, United Kingdom","(56.7861112, -4.1140518, 0.0)",56.7861112,-4.1140518,0.0
2047,"New York, NY",@PreetBharara  and the 40% of Americans that support Trump unconditionally IS Pharaoh-of the Old Testament.  God ha… https://t.co/IkAISf620T,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
2050,South Africa,Opportunist,South Africa,"(-28.8166236, 24.991639, 0.0)",-28.8166236,24.991639,0.0
2054,Planet Ten,Is this a joke?,"Planet, Saint-Girons, Ariège, Occitanie, France métropolitaine, 9420, France","(42.9972798, 1.3454109, 0.0)",42.9972798,1.3454109,0.0
2058,United States,Fast response #Austria. It didn’t take many #Coronavirus cases to get here did it?,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2066,Montreal,While there are huge shortages of Coronavirus Kits and Lack of Preparedness. Trump protects Billionaires,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","(45.4972159, -73.6103642, 0.0)",45.4972159,-73.6103642,0.0
2067,"Bamberg, SC",They actually do is South Carolina,"Bamberg County, South Carolina, United States of America","(33.2130154, -81.0166235, 0.0)",33.2130154,-81.0166235,0.0
2078,"Jonesboro, LA",@jimcramer we LOVE your show!!!,"Jonesboro, Clayton County, Georgia, 30250, United States of America","(33.5215013, -84.3538128, 0.0)",33.5215013,-84.3538128,0.0
2086,YYJ,"We MUST protect our healthcare system. Timing matters immensely. 
@PattyHajdu @CPHO_Canada @adriandix @jjhorgan… https://t.co/ctx9p9xJaN","Victoria International Airport, Canora Road, Sidney, Capital Regional District, British Columbia, V8L 1P3, Canada","(48.6463019, -123.4217089740095, 0.0)",48.6463019,-123.4217089740095,0.0
2095,"Derry, Ireland",'This has been a difficult decision but we felt it was the only one we could take' : Foster and O’Neill cancel St P… https://t.co/W8GGrKL8ZZ,"Derry, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, Ireland","(53.4122928, -7.2858103, 0.0)",53.4122928,-7.2858103,0.0
2108,pittsburgh,If I get coronavirus I am going to go to a Joe Biden rally,"Pittsburgh, Allegheny County, Pennsylvania, 15262, United States of America","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861,0.0
2110,USA,Business as usual for Trump as coronavirus spreads https://t.co/a3U0l3YmPs,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2113,"New Jersey, USA",More like you libera morons are in tota meltdown. You all know Biden is borderline dementia while being senile. You… https://t.co/yvAZ3Fsajq,"New Jersey, United States of America","(40.0757384, -74.4041622, 0.0)",40.0757384,-74.4041622,0.0
2117,"East London, England",People laughing and joking about coronavirus need to wake up,"East, 179, Westbourne Grove, Silchester Estate, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11, United Kingdom","(51.5145651, -0.1979357039473676, 0.0)",51.5145651,-0.1979357039473676,0.0
2121,Ireland,Article is paywalled but hopefully the headline of mortgage payments and bills being suspended in Italy is accurate… https://t.co/CWsjhPn5Rd,Ireland,"(52.865196, -7.9794599, 0.0)",52.865196,-7.9794599,0.0
2137,"Chadds Ford, PA",What to do if your child gets sick #COVID19,"Chadds Ford, Delaware County, Pennsylvania, 19317, United States of America","(39.872027, -75.5914213, 0.0)",39.872027,-75.5914213,0.0
2161,"Stow, Ohio","I don’t think any of us would have a problem calling it the Boston coronavirus, if it originated there. You lose cr… https://t.co/LSQo3HyHGR","Stow, Summit County, Ohio, United States of America","(41.1596261, -81.4406258, 0.0)",41.1596261,-81.4406258,0.0
2168,"Indiana, USA",Coronavirus live updates: US markets set to pop as Trump eyes stimulus; deaths climb in Iran https://t.co/UMFkQqv1tl,"Indiana, United States of America","(40.3270127, -86.1746933, 0.0)",40.3270127,-86.1746933,0.0
2174,Antwerp. Belgium,Showtime,"Antwerpen, Vlaanderen, België - Belgique - Belgien","(51.2211097, 4.3997081, 0.0)",51.2211097,4.3997081,0.0
2175,Realville,That would be all the Democrat Party??,"Réalville, Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82440, France","(44.1147428, 1.4791189, 0.0)",44.1147428,1.4791189,0.0
2192,Clearwater. Florida,Whose polls? You bombed the stock market and blew off the Coronavirus...what poll? None.. https://t.co/e98aN4Hu87,"Clearwater, Pinellas County, Florida, United States of America","(27.9658533, -82.8001026, 0.0)",27.9658533,-82.8001026,0.0
2250,"Lagos, Nigeria",Per hour or what???? Cause this isn’t looking like the cost of death.,"Lagos, Lagos Island, Lagos, 100242, Nigeria","(6.4550575, 3.3941795, 0.0)",6.4550575,3.3941795,0.0
2267,Cambridge,Petition: Include self-employed in statutory sick pay during Coronavirus https://t.co/2dgfDK4luh,"Cambridge, Cambridgeshire, East of England, England, United Kingdom","(52.2034823, 0.1235817, 0.0)",52.2034823,0.1235817,0.0
2270,Revelation ,"#coronavirus Yes, we are saying that the Mind of this Man, #MasterFardMuhammad, is so INFINITELY POWERFUL, that if… https://t.co/KvH3EsB1xs","Revelation, Auroville, Vanur, Viluppuram district, Tamil Nadu, 605111, India","(12.0161002, 79.8114079, 0.0)",12.0161002,79.8114079,0.0
2278,Polis,Society is scary dumb.  @RyanMarino 🤦🏻‍♂️,"Polis, Bashkia Librazhd, Qarku i Elbasanit, Shqipëria qendrore, 3409, Shqipëria","(41.1285122, 20.2493584, 0.0)",41.1285122,20.2493584,0.0
2306,srikakulam,IAF rescues 58 Indians stranded in Iran amid coronavirus outbreak https://t.co/EzWmzUPK3O via @IndianExpress,"Srikakulam, Andhra Pradesh, 532001, India","(18.32002205, 83.91607719937166, 0.0)",18.32002205,83.91607719937166,0.0
2311,"Liverpool, England","Over 60,000 people have recovered from the coronavirus no problem but the media don't want us to know about that. I… https://t.co/WhhkQ5wCb7","Liverpool, North West England, England, United Kingdom","(53.407154, -2.991665, 0.0)",53.407154,-2.991665,0.0
2312,United Kingdom,Um remember this is the guy who stared at the eclipse,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
2315,United States,Coronavirus: China’s ravaged manufacturing heartlands force international firms to speed up exit strategies | South… https://t.co/GGlnKZ3CJy,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2319,"Bengaluru, India","Dear @airtelindia, Regarding your #coronavirus message.. I GET IT!! I don’t need to hear it EVERY time I make a cal… https://t.co/0VO6a7P5R3","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","(12.9791198, 77.5912997, 0.0)",12.9791198,77.5912997,0.0
2327,Mos Eisley. ,"@anthm17 @MudandMayo @egallag @michaelharriot There is one case in Hong Kong.

https://t.co/JQUsY0WhfW","Mos Eisley, 20, Fritz-Elsas-Straße, Neue Vorstadt, Stuttgart-Mitte, Stuttgart, Baden-Württemberg, 70174, Deutschland","(48.7756326, 9.1713779, 0.0)",48.7756326,9.1713779,0.0
2336,Ohio,Crazy Bernie. Bring them all in! Liberal stupidity,"Ohio, United States of America","(40.2253569, -82.6881395, 0.0)",40.2253569,-82.6881395,0.0
2349,"chorley, lancs",honestly im just hoping coronavirus doesnt cancel my auditions/recalls lol (((((TOUCH WOOD))))),"Chorley, Lancashire, North West England, England, United Kingdom","(53.6531915, -2.6294313, 0.0)",53.6531915,-2.6294313,0.0
2353,"Virginia, USA","Whether you like him or not,... whether you agree/disagree with the left/right... this is worth watching 👇","Virginia, United States of America","(37.1232245, -78.4927721, 0.0)",37.1232245,-78.4927721,0.0
2360,kenya,"Till further notice this is how we doin it. Be safe peeps
#coronavirus https://t.co/3EZFTEcs2s",Kenya,"(1.4419683, 38.4313975, 0.0)",1.4419683,38.4313975,0.0
2364,"Cape Town, South Africa",Increasing Infection Prevention and Control measures will be critical in protecting vulnerable patients and frontli… https://t.co/Hklp7swYaM,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","(-33.928992, 18.417396, 0.0)",-33.928992,18.417396,0.0
2382, Mumbai India.,He is side effect of Corona virus..,"Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355, 0.0)",18.9387711,72.8353355,0.0
2387,"New York, NY","You get to go to London, get paid, and have no exercise or human interaction for at least 2 weeks. This is not an e… https://t.co/lnYUIKgTKE","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
2391,"Budapest, Hungary",The money also too small.,"Budapest, Közép-Magyarország, Magyarország","(47.48138955, 19.14607278448202, 0.0)",47.48138955,19.14607278448202,0.0
2394,uk,English leagues only ones still going?,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
2399,"Avon, Indiana ",From CNN: 'Wheel of Fortune' and 'Jeopardy' to nix studio audiences over coronavirus concerns - 'Wheel of Fortune'… https://t.co/ptYa4CZp7U,"Avon, Hendricks County, Indiana, 46123, United States of America","(39.7628227, -86.3997168, 0.0)",39.7628227,-86.3997168,0.0
2401,London  UK,#Coronavirus : Deputy chief medical officer says UK will see 'many thousands of people' contract #virus https://t.co/6uvfsAJ1PB,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
2407,"Peebles, Scotland",Coronavirus and the possible effect on UK small business https://t.co/kiVQ5L2df0,"Peebles, Scottish Borders, Scotland, EH45 8SL, United Kingdom","(55.6517553, -3.1885456, 0.0)",55.6517553,-3.1885456,0.0
2418,"Washington, DC",The realities of cancelling public events + festivals. South by Southwest #SXSW lays off a third of its employees… https://t.co/2z7stNLUae,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
2439,Hampshire,"Don't travel, don't socialise, stay inside: Italy's coronavirus lockdown rules https://t.co/jfIPjF2auT","Hampshire, South East, England, United Kingdom","(51.083333, -1.166667, 0.0)",51.083333,-1.166667,0.0
2443,Gaza - Palestine,The head of the WHO’s office in Gaza said that there are just 50 test kits for the #coronavirus in the territory an… https://t.co/nAaFRHtku6,"Palestine university""north gaza branch"", General Beit Lahiya, بيت لاهيا, محافظة شمال غزة, ‏قطاع غزة‎, 500, Palestinian Territory","(31.539124649999998, 34.50726089768503, 0.0)",31.539124649999998,34.50726089768503,0.0
2449,The Smith Residence,Wait while I was working getting my billables up... @NJGov declared a state of emergency for the coronavirus fuuuuuuck,"The Smith Residence, State Street, Hood River, Hood River County, Oregon, 97031, United States of America","(45.7083026, -121.516041, 0.0)",45.7083026,-121.516041,0.0
2450,America,"Missouri man breaks coronavirus self-quarantine to attend father-daughter dance. Now, the school is canceling class… https://t.co/wxIAL3qk1m","America, Horst aan de Maas, Limburg, Nederland","(51.44770365, 5.966069282055592, 0.0)",51.44770365,5.966069282055592,0.0
2479,"Portage Lakes, Ohio","Fox host loses it, blames DEMOCRATS for Trump’s dismal coronavirus response https://t.co/yAIpo4HAdM via @YouTube","Portage Lakes, Coventry Township, Summit County, Ohio, 44319, United States of America","(40.995898, -81.535116, 0.0)",40.995898,-81.535116,0.0
2491,Global,What are the reasons behind the containment of deadly #coronavirus in an International Business Hub #Sinagapore?… https://t.co/xGhzX7BuD6,"Global, 81, Barber Greene Road, Don Mills, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3C 2C3, Canada","(43.7283874, -79.34914879325001, 0.0)",43.7283874,-79.34914879325001,0.0
2492,Midwest,Trump to fight coronavirus economic impact with payroll tax cut proposal and other programs https://t.co/B0qeQoOsuD… https://t.co/jPHEoZlRzx,"Midwest, Natrona County, Wyoming, United States of America","(43.411391, -106.280075, 0.0)",43.411391,-106.280075,0.0
2504,"London, England",Costco are making money boy,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
2508,The Hidden East,Whoa that’s crazy,"hidden?, Nsanje, Southern Region, Malawi","(-16.6722221, 35.1148338, 0.0)",-16.6722221,35.1148338,0.0
2524,"Detroit, MI",@tommyHotpockets This #CoronaVirusExpert tweet reached the top ~20% of tweets by @DrTedros in under 20 minutes 7 se… https://t.co/jiaOhC8ve0,"Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)",42.3315509,-83.0466403,0.0
2557,"Jupiter, FL",The latest Jack's First Tee Morning News! https://t.co/NVI3iAf8nn Thanks to @GolfistUK @PatrickFlesch #covid2019 #coronavirus,"Jupiter, Palm Beach County, Florida, United States of America","(26.9260832, -80.12108914060954, 0.0)",26.9260832,-80.12108914060954,0.0
2559,"Amsterdam, The Netherlands",Listen in: @eMarketer's analysts discuss the approaching changes in consumer behavior instigated by the newest stra… https://t.co/UZDyMFv0cA,"Amsterdam, Noord-Holland, Nederland","(52.3727598, 4.8936041, 0.0)",52.3727598,4.8936041,0.0
2567,USA,"@AmoneyResists @ustooenough This &amp; other mtgs. w/Russia,
during the stress of financial crash&amp;growing complications… https://t.co/F2huxBKjWS",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2576,"Busan, Republic of Korea",watch armys end coronavirus somehow now that they're mad at it,"부산, 대한민국","(35.1799528, 129.0752365, 0.0)",35.1799528,129.0752365,0.0
2581,"New York, NY",Works for me!  Hate his face.,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
2598,"Plymouth, England",Oh dear 🙈🥴,"Plymouth, South West England, England, PL1 1HH, United Kingdom","(50.3712659, -4.1425658, 0.0)",50.3712659,-4.1425658,0.0
2599,En ma terra del Vallès,Ortega-Smith contagiant gent 👇,"Ripollet centre;Cerdanyola;del Vallès, Autopista Barcelona-Manresa, Maragall, Ripollet, Vallès Occidental, Barcelona, Catalunya, 08299, España","(41.4880372, 2.1592192, 0.0)",41.4880372,2.1592192,0.0
2606,VA & Washington DC,Iran's Coronavirus Problem Is a Lot Worse Than It Seems. “surprising number of Iranian government officials succumb… https://t.co/sqqD3aEgjI,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
2619,New Port Richey Florida,"So how does Pay Roll tax cut help if you can’t go to work because of Coronavirus, anybody ?","New Port Richey, Pasco County, Florida, United States of America","(28.2441768, -82.7192671, 0.0)",28.2441768,-82.7192671,0.0
2624,Brighton,"Of course, we couldn't possibly do this, eh, Boris.  Too expensive - might upset some of your rich mates.","Brighton, Brighton and Hove, South East, England, United Kingdom","(50.8220399, -0.1374061, 0.0)",50.8220399,-0.1374061,0.0
2652,Beirut,this is downright medieval if a plane wasn't involved,"بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","(33.8959203, 35.47843, 0.0)",33.8959203,35.47843,0.0
2684,Jamaica,And unu a tell me Jamaicans are sensible ppl?,"Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika","(18.1152958, -77.1598454610168, 0.0)",18.1152958,-77.1598454610168,0.0
2696,Malta,"Inovio (INO) Stock Crashes Over 30%, Citron Research Casts Doubt on Coronavirus Vaccine
https://t.co/eOcRN83TWs… https://t.co/C5YMpzA03v",Malta,"(35.8885993, 14.4476911, 0.0)",35.8885993,14.4476911,0.0
2713,Monroe Township NJ,@realDonaldTrump @foxandfriends @CNN Stop with TV ratings. Watch your own ratings. They’re spiraling downward. Worl… https://t.co/X0IqOxAPnx,"Monroe Township, Middlesex County, New Jersey, 08831, United States of America","(40.3183284, -74.42021831867089, 0.0)",40.3183284,-74.42021831867089,0.0
2715,United States,@noiserawker @Nan0naut1 @StrayInuz @gatewaypundit @LouDobbs It’s monumentally stupid of you to blame “Trump cultist… https://t.co/QiNea5vbDl,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2729,Glasgow,"With all this stuff about coronavirus and bog roll, now is a good time to repost my The Rhythm of My Shite.

https://t.co/Sq3wveOA46","Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","(55.8609825, -4.2488787, 0.0)",55.8609825,-4.2488787,0.0
2735,"Bellefonte, PA 16823","Age of Coronavirus Deaths
COVID-19 Fatality Rate by AGE: https://t.co/5dDxvDLTtj","Bellefonte, Centre County, Pennsylvania, United States of America","(40.9134862, -77.7737471, 0.0)",40.9134862,-77.7737471,0.0
2740,Georgia,"Italy extends coronavirus lockdown to entire country, imposing restrictions on 60 million people

IF ITALY SUCCEEDS… https://t.co/NqtAcSYANt","Georgia, United States of America","(32.3293809, -83.1137366, 0.0)",32.3293809,-83.1137366,0.0
2741,Singapore,Coronavirus ‘victory in sight’ for Wuhan as Xi Jinping visits front line https://t.co/vSgeGUoVOr,Singapore,"(1.357107, 103.8194992, 0.0)",1.357107,103.8194992,0.0
2759,London,Sky News and Corona Virus today!,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
2760,"Tampa, FL",These folks at @PortTampaBay weren't concerned about the possibility of #coronavirus as they boarded their cruise s… https://t.co/TiicsWkmuU,"Tampa, Hillsborough County, Florida, United States of America","(27.9477595, -82.458444, 0.0)",27.9477595,-82.458444,0.0
2771,Oslo,Iran: The Mullahs' Coronavirus Lies https://t.co/nHdfBj4iAz,"Oslo, 0026, Norge","(59.9133301, 10.7389701, 0.0)",59.9133301,10.7389701,0.0
2774,"Texas, USA",⚠ Coronavirus: How to protect yourself if you have underlying conditions https://t.co/yVF6n4y5xi,"Texas, United States of America","(31.8160381, -99.5120986, 0.0)",31.8160381,-99.5120986,0.0
2784,"Seattle, WA",@realDonaldTrump Good morning Comrade Trump. Right now you should not be thinking about polls. You should be thinki… https://t.co/ncbxt7YPrR,"Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)",47.6038321,-122.3300624,0.0
2789,Meanjin / Brisbane,@coopesdetat @peripatetical @trentyarwood @VictorianCHO @MackayIM Just confirmed w/ friend it was all done via priv… https://t.co/8CjHEn9U6S,"Brisbane, Queensland, 4004, Australia","(-27.4689682, 153.0234991, 0.0)",-27.4689682,153.0234991,0.0
2793,504,PSA‼️‼️‼️ The Coronavirus has hit New Orleans and can be spread through money so if you have any money on you or at… https://t.co/FtOezdxi48,"504, Noord-Beveland, Zeeland, Nederland","(51.59209745, 3.7169585366236175, 0.0)",51.59209745,3.7169585366236175,0.0
2805,"Θεσσαλονίκη, Ελλάς",@partenopeppe he fished coronavirus out of the mediterranean,"Θεσσαλονίκη, Δήμος Θεσσαλονίκης, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Μακεδονία - Θράκη, 54626, Ελλάδα","(40.6403167, 22.9352716, 0.0)",40.6403167,22.9352716,0.0
2820,"Bamberg, SC",They actually do in South Carolina,"Bamberg County, South Carolina, United States of America","(33.2130154, -81.0166235, 0.0)",33.2130154,-81.0166235,0.0
2830,USA,"Instead of listening to manipulation and panic from the Mainstream media and Democrats,  use common sense.… https://t.co/blXVuEzyao",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
2834,"Wayne, NE","Washing your hands protects those around you and slows the transmission of Coronavirus through the population, help… https://t.co/95F0BK8Pw7","Wayne County, Nebraska, United States of America","(42.1941294, -97.169623, 0.0)",42.1941294,-97.169623,0.0
2836,Earth,The more you know,"Earth, Lamb County, Texas, United States of America","(34.2331373, -102.4107493, 0.0)",34.2331373,-102.4107493,0.0
2850,"Los Angeles, CA",Donald Trump has psychotic racist meltdown after potentially being exposed to coronavirus https://t.co/u8EbF0ZiKO,"Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)",34.0536909,-118.2427666,0.0
2864,Right here↩,@timesofindia 1. The Epidemiological Characteristics of an Outbreak of 2019 Novel Coronavirus Diseases (COVID-19) -… https://t.co/ezxRGZFE3x,"Shoes Right Here, OR 99, Grants Pass, Josephine County, Oregon, 97506, United States of America","(42.42482835, -123.32814009114388, 0.0)",42.42482835,-123.32814009114388,0.0
2875,"Hackney, London",Coronavirus is making me think it might have been a bad idea to elect all of those right-wing authoritarian governments,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621,0.0
2879,"Philly Pa, USA",Internet pounds Trump for suggesting his border wall will help stop the coronavirus: Build it around ‘Cruz and Gaet… https://t.co/vX296UdWWd,"North Philly Peace Park, Sharswood, Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.97740975, -75.17203915, 0.0)",39.97740975,-75.17203915,0.0
2885,"Florida, USA",Hope fox news isn't running with this..ppl watching that station believe everything they're told..,"Florida, United States of America","(27.7567667, -81.4639835, 0.0)",27.7567667,-81.4639835,0.0
2898,"New York, NY","'It Happened So Quick: ' NJ's First #Coronavirus Patient Speaks Out: Patch https://t.co/0doaSF8YPs

More w/ RSS: https://t.co/antmkmwzhJ","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
2900,kolkata,"How AI, Big Data &amp; Cloud Computing can be used to Battle Coronavirus Pandemic https://t.co/mkQcR9KL5R","Kolkata, West Bengal, India","(22.54541245, 88.3567751581234, 0.0)",22.54541245,88.3567751581234,0.0
2915,"Washington, DC",Gohmert returns to Congress despite possible coronavirus exposure https://t.co/60bZH7mDxi https://t.co/RJq1upVYME,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
2916,"Galway, Ireland","Health officials: Don't touch your face! #COVID2019 #COVID19ireland
#Coronavirusireland #coronavirus
Me... https://t.co/xANhf8eB4o","Galway, Cathair na Gaillimhe, County Galway, Connacht, H91 YD86, Ireland","(53.2744122, -9.0490632, 0.0)",53.2744122,-9.0490632,0.0
2919,"Ohio, USA",Internet pounds Trump for suggesting his border wall will help stop the coronavirus: Build it around ‘Cruz and Gaet… https://t.co/eYwIvGIs91,"Ohio, United States of America","(40.2253569, -82.6881395, 0.0)",40.2253569,-82.6881395,0.0
2924,Florida,"Coronavirus: 38yo Israeli Man In 'Critical Condition,' Healthy 32yo Asian Man In Brooklyn 'Has Respiratory Failure' https://t.co/ndJHOel99n","Florida, United States of America","(27.7567667, -81.4639835, 0.0)",27.7567667,-81.4639835,0.0
2933,"El Segundo, CA","5 lawmakers, several congressional staffers self-quarantine after coronavirus exposure https://t.co/1gWbCByWC6","El Segundo, Los Angeles County, California, 90245, United States of America","(33.917028, -118.4156337, 0.0)",33.917028,-118.4156337,0.0
